state,"drought","flooding","freeze","severe storm","tropical cyclone","wildfire","winter storm"
AK,0.0,0.0,0.0,0.0,0.0,2343.6,0.0
AL,6936.7,137.7,152.4,14669.1,27195.8,733.3,2430.2
AR,6892.3,4703.6,298.6,11950.7,720.1,0.0,1360.4
AZ,1607.2,1922.4,0.0,5472.0,0.0,1355.4,0.0
CA,16557.3,19214.9,15491.0,3528.8,0.0,100064.9,0.0
CO,7340.2,2082.1,105.0,33303.6,0.0,7225.2,418.9
CT,13.3,612.2,42.0,908.9,6006.8,0.0,3145.0
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,887.0,34.6,12.6,286.2,1034.8,0.0,933.5
FL,1531.8,2944.1,13921.4,6637.8,422531.2,306.2,4011.0
GA,8399.7,1418.6,1315.0,13117.1,33039.3,294.8,2911.2
GU,0.0,0.0,0.0,0.0,4420.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,6913.0,5665.0,0.0
IA,16507.2,24737.4,77.6,23081.5,0.0,0.0,236.1
ID,3591.0,586.3,12.6,0.0,0.0,3552.6,0.0
IL,17502.3,10167.4,431.9,28782.2,1082.4,0.0,2580.4
IN,8792.2,5520.2,234.5,15740.3,1266.5,0.0,799.0
KS,27043.5,3658.4,175.9,13990.5,0.0,0.0,205.7
KY,7899.9,961.6,255.6,16592.3,1585.3,0.0,1586.3
LA,7074.3,21522.9,210.0,12927.2,270543.4,0.0,2316.3
MA,20.0,1318.2,50.4,880.4,3689.0,0.0,5177.7
MD,3445.4,345.1,33.6,3765.7,6529.1,0.0,3145.4
ME,13.3,601.4,0.0,244.3,143.5,0.0,1625.5
MI,3301.5,3407.0,50.4,7111.9,115.0,0.0,677.5
MN,10256.1,6599.2,54.6,24929.9,0.0,100.4,226.5
MO,12652.1,16262.5,656.4,29331.6,560.9,0.0,929.2
MS,9027.5,3752.9,129.6,7009.1,62027.3,43.2,4817.6
MT,13881.5,357.2,12.6,1281.6,0.0,3471.2,0.0
NC,10755.9,106.5,312.8,8737.6,113335.8,90.5,2456.0
ND,24065.8,9758.7,12.6,414.6,0.0,13.2,38.9
NE,17442.9,5231.3,87.0,16270.6,0.0,58.1,42.4
NH,13.3,72.2,0.0,164.1,462.8,0.0,1629.6
NJ,512.5,1356.3,50.4,4171.7,53304.3,0.0,5706.0
NM,3420.3,0.0,0.0,1062.1,304.6,4508.8,0.0
NV,445.9,1089.0,0.0,63.0,0.0,1246.9,45.6
NY,631.9,2347.1,71.4,4949.5,68698.0,0.0,7979.6
OH,6627.8,1389.9,418.2,18898.6,3889.0,0.0,1794.5
OK,13448.7,2597.2,630.0,27411.0,0.0,348.1,1067.1
OR,4456.2,1655.4,138.6,107.3,0.0,5909.5,1477.9
PA,2591.3,1348.0,105.0,9688.7,12070.0,0.0,4019.6
PR,0.0,0.0,0.0,0.0,126324.8,0.0,0.0
RI,13.3,240.7,8.4,224.6,1355.7,0.0,1129.3
SC,4456.2,2611.7,652.2,5141.7,28853.1,0.0,1561.3
SD,14729.1,5649.5,25.2,2292.2,0.0,108.4,0.0
TN,7506.8,3988.9,196.0,23586.5,2518.3,1834.0,2845.1
TX,44121.0,15303.3,565.3,98366.6,248011.2,3165.9,26501.6
US,367737.9,202806.0,37343.4,513822.5,1542785.7,147983.5,104383.1
UT,530.1,1610.0,12.6,28.8,0.0,1404.9,0.0
VA,4839.1,2294.0,91.6,4024.1,11133.2,0.0,3140.0
VI,0.0,0.0,0.0,0.0,21081.5,0.0,0.0
VT,13.3,952.8,0.0,185.6,1173.7,0.0,1198.7
WA,4907.1,1099.0,113.4,68.5,0.0,3035.0,1081.2
WI,5865.4,6388.7,50.4,9809.0,0.0,0.0,252.0
WV,2337.4,2847.9,70.2,1158.2,866.3,0.0,883.3
WY,2833.3,0.0,8.4,1455.2,0.0,1104.4,0.0
